node_id,node_attr
1,"ConhecimentoTécnicoCientífico: InteligênciaArtificial"
2,"ProjetoProposto: Projeto Proposto"
3,"RedesGenerativasAdversariaisGANs: Redes Generativas Adversariais (GANs)"
4,"AgenteDeIA: AgenteDeIA"
5,"StartupDedicaASoluçõesDeIA: Granter.ai"
6,"SetorDeAltaIntensidadeTecnológica: SetorDeAltaIntensidadeTecnológica"
7,"SoftwareProprietario: Software Proprietario"
8,"ConhecimentoTécnicoCientífico: Inteligência Artificial"
9,"AdversarialInContextLearningAdvICL: Adversarial In-Context Learning (Adv-ICL)"
10,"TipologiaApoioAoArranqueOuAoCrescimento: TipologiaApoioAoArranqueOuAoCrescimento"
11,"RedesGenerativasAdversariaisGANs: RedesGenerativasAdversariaisGANs"
12,"AdversarialInContextLearningAdvICL: Adv-ICL"
13,"ProdutoDigitalInovador: Agente de IA"
14,"ProjetoProposto: projeto"
15,"VouchersParaStartupsNovosProdutosDigitaisTecnológicosGranterAIAActivityEconómicaPrincipalDoBeneficiário: VouchersParaStartupsNovosProdutosDigitaisTecnológicosGranterAIAActivityEconómicaPrincipalDoBeneficiário"
16,"EcoInovação: EcoInovação"
17,"ConhecimentoTécnicoCientífico: automatização"
18,"MetodologiasDeIA: digitalização"
19,"ImpactoNaCompetitividade: ImpactoNaCompetitividade"
20,"ProjetoProposto: ProjetoProposto"
21,"ConhecimentoTécnicoCientífico: competências tecnológicas e de gestão"
22,"MissãoDeDemocratizarOFundosPublicos: MissãoDeDemocratizarOFundosPublicos"
23,"ProdutoComForteComponenteDigital: ProdutoComForteComponenteDigital"
24,"PropostaDeValorDiferenciada: PropostaDeValorDiferenciada"
25,"ConhecimentoTécnicoCientífico: inteligência artificial"
26,"ProdutoDigitalInovador: soluções digitais inteligentes"
27,"Empresas4_0: Empresas 4.0"
28,"EquipeDeGestão: equipa de gestão"
29,"TransiçãoDigitalPRR: TransiçãoDigitalPRR"
30,"TransformaçãoEstratégica: TransformaçãoEstratégica"
31,"CTOeCofundador: Bernardo Tavares"
32,"MetodologiasDeIA: MetodologiasDeIA"
33,"TechLead: Francisco Belo"
34,"HeadOfOperations: Bernardo Moutinho"
35,"CEOEBasicoDeExperiência: Bernardo Seixas"
36,"HeadOfSales: Francisco Meirelles"
37,"PropostaDeValorDiferenciada: licenciamento"
38,"ProdutoDigitalInovador: ferramenta digital inteligente"
39,"PropostaDeValorDiferenciada: estratégia de subscrição anual"
40,"PropostaDeValorDiferenciada: modelo de monetização"
41,"StartupDedicaASoluçõesDeIA: empresa"
42,"AgenteDeIA: IA"
43,"ProdutoDigitalInovador: acrescentado com base em IA"
44,"ProdutoDigitalInovador: produto"
45,"ModeloDeNegócioDeAssinatura: modelo de negócio"
46,"ConhecimentoTécnicoCientífico: AI"
47,"ConhecimentoTécnicoCientífico: Advanced AI"

src,edge_attr,dst
5,"enquadraNo",6
5,"aplicaTecnologia",1
2,"desenvolve",4
4,"usaMetodologia",3
4,"usaMetodologia",9
7,"desenvolve",8
5,"enquadraNo",10
5,"temSetor",6
13,"aplicaTecnologia",11
13,"aplicaTecnologia",12
5,"desenvolve",13
5,"usaMetodologia",11
5,"usaMetodologia",12
10,"enquadraNo",14
5,"aplicaTecnologia",25
5,"aplicaTecnologia",17
5,"aplicaTecnologia",26
5,"enquadraNo",27
5,"usaMetodologia",18
5,"usaMetodologia",25
5,"usaMetodologia",17
5,"enquadraNo",29
5,"enquadraNo",16
5,"enquadraNo",19
5,"enquadraNo",30
5,"enquadraNo",22
5,"enquadraNo",24
5,"enquadraNo",23
5,"enquadraNo",20
5,"enquadraNo",15
28,"temSetor",21
35,"enquadraNo",22
35,"enquadraNo",30
31,"enquadraNo",32
31,"aplicaTecnologia",11
31,"aplicaTecnologia",12
34,"enquadraNo",10
33,"enquadraNo",32
33,"aplicaTecnologia",11
36,"enquadraNo",10
37,"aplicaTecnologia",24
5,"aplicaTecnologia",38
40,"desenvolve",39
41,"enquadraNo",6
41,"temSetor",6
5,"temSetor",30
42,"aplicaTecnologia",43
14,"temSetor",6
44,"aplicaTecnologia",11
44,"temSetor",6
45,"enquadraNo",10
47,"aplicaTecnologia",46
