node_id,node_attr,node_type
1,"Granter.Ai","Company"
2,"Ai Solutions","Aiability"
3,"Public Funding Applications","Application"
4,"Ai Agent","Agent"
5,"Research Activities","Researchprocess"
6,"Technological Development Activities","Researchprocess"
7,"Generative Adversarial Networks","Aicontentgenerationmethodology"
8,"Adversarial In-Context Learning","Aicontentgenerationmethodology"
9,"Proprietary Software","Proprietarysoftware"
10,"Sector Efficiency","Abilitylanguageadaptation"
11,"Sector Innovation","Abilitylanguageadaptation"
12,"High-Tech Sector","Sector"
13,"Multiple Markets","Market"
14,"Automating Complex Processes","Abilitylanguageadaptation"
15,"Specialists","Person"
16,"Businesses","Business"
17,"Public Funding","Businessgoal"
18,"Funding Opportunities","Businessgoal"
19,"Methodologies","Aicontentgenerationmethodology"
20,"Public Policies","Abilitylanguageadaptation"
21,"Public Funds","Abilitylanguageadaptation"
22,"Market","Market"
23,"Climate Transition","Businessgoal"
24,"Sustainability","Businessgoal"
25,"Green Economy","Businessgoal"
26,"Business Initiatives","Business"
27,"Economic Ecosystem","Business"
28,"International Markets","Market"
29,"Spain","Location"
30,"Italy","Location"
31,"Usa","Location"
32,"2025","Timeperiod"
33,"Digital Infrastructure","Digitalinfrastructure"
34,"Database","Database"
35,"Sustainability Funding Programs","Fundingsupporttypology"
36,"R&D Activities","Businessgoal"
37,"Ani Recognition Process","Businessgoal"
38,"Company Growth Support","Businessgoal"
39,"Innovative Digital Product","Digitalproduct"
40,"Technological Foundation","Technology"
41,"Ai Agent For Public Funds","Digitalproduct"
42,"Company'S Value Proposition","Businessproposition"
43,"Competitive Position","Businessstrategy"
44,"National Markets","Market"
45,"Internal Company Resources","Resource"
46,"Highly Qualified New Member","Person"
47,"Advanced Technical Knowledge","Knowledgedomain"
48,"Applied Research","Researchprocess"
49,"Experimental Development","Researchprocess"
50,"Scalable Licensing Model","Businessmodel"
51,"Legal Frameworks Of Other Countries","Legalframeworks"
52,"Operational Frameworks Of Other Countries","Legalframeworks"
53,"Growth Objectives","Businessgoal"
54,"Sector","Sector"
55,"Digital Solution","Digitalproduct"
56,"Technology Complexity","Abilitylanguageadaptation"
57,"Robust, Intuitive, Effective Solution","Aicontentgenerationmethodology"
58,"Company'S Medium- And Long-Term Vision","Businessgoal"
59,"Company'S Mission","Businessgoal"
60,"Democratize Access To Public Funding","Businessproposition"
61,"Facilitate Access To Public Funding","Businessproposition"
62,"New Revenue Streams","Businessgoal"
63,"Scalability Potential","Abilitylanguageadaptation"
64,"Internationalization Potential","Abilitylanguageadaptation"
65,"Expansion","Businessgoal"
66,"Partnerships","Business"
67,"New Applications","Business"
68,"New Competencies","Business"
69,"Sustainable Growth","Businessgoal"
70,"Innovative Growth Trajectory","Businessstrategy"
71,"Project","Project"
72,"Digital Product","Digitalproduct"
73,"Technological Component","Innovationcomponent"
74,"Innovation","Innovationcomponent"
75,"Digital Transformation","Digitaltransformation"
76,"Ai Functionalities","Aiability"
77,"Generative Adversarial Networks (Gans)","Aiability"
78,"Adversarial In-Context Learning (Adv-Icl)","Aiability"
79,"R&D","Businessmodel"
80,"Technological Knowledge Transfer","Businessmodel"
81,"Application Process Stages","Businessgoal"
82,"Opportunities","Businessgoal"
83,"Eligibility Analysis","Businessgoal"
84,"Application Drafting","Businessgoal"
85,"Evaluation","Businessgoal"
86,"Automated Submission","Businessgoal"
87,"Project Management","Businessgoal"
88,"Efficiency And Effectiveness","Businessgoal"
89,"Public Funding Mechanisms","Businessgoal"
90,"Automation And Simplification","Businessgoal"
91,"Specialists And Businesses","Business"
92,"Errors And Inefficiencies","Business"
93,"Success Rate Of Applications","Business"
94,"European Union Objectives","Businessgoal"
95,"Project Objectives And Priorities","Businessgoal"
96,"Markets","Market"
97,"Languages","Abilitylanguageadaptation"
98,"Business Model","Businessmodel"
99,"Subscription Strategy","Businessmodel"
100,"Saas (Software As A Service)","Businessmodel"
101,"Models","Businessmodel"
102,"Access Levels","Ability"
103,"Individuals","Person"
104,"Needs","Businessgoal"
105,"Proposal","Business"
106,"Strategicdimension","Businessgoal"
107,"Digitaltransition","Digitaltransformation"
108,"Prr","Fundingsupporttypology"
109,"Artificialintelligence","Aiability"
110,"Automation","Aiability"
111,"Usability","Abilitylanguageadaptation"
112,"Companies4.0","Businessgoal"
113,"Businessmodelmodernization","Businessgoal"
114,"Technologicalempowerment","Businessgoal"
115,"Intelligentdigitalsolutions","Digitalproduct"
116,"Ecoinnovation","Innovationcomponent"
117,"Digitaltransformationimpact","Impacton"
118,"Fundingprograms","Fundingsupporttypology"
119,"Efficiency","Businessgoal"
120,"Greeneconomy","Businessgoal"
121,"Ecoefficiency","Businessgoal"
122,"Newbusinessmodels","Businessmodel"
123,"Growthaxis","Strategicdimension"
124,"Portugal","Location"
125,"Europeanunion","Location"
126,"Company","Company"
127,"Publicfundingconsultancy","Applicationpreparationagent"
128,"Technologydrivencompany","Company"
129,"Innovativecompany","Company"
130,"Paradigmshift","Businessstrategy"
131,"Product","Digitalproduct"
132,"Technologicalfoundation","Businessmodelcomponent"
133,"Scalabilitypotential","Abilitylanguageadaptation"
134,"Digitalization","Digitaltransformation"
135,"Artificialintelligenceapplication","Aicontentgenerationmethodology"
136,"Addedvalue","Businessgoal"
137,"Startupgrowth","Businessgoal"
138,"Management Team","Team"
139,"Duarte Gomes","Person"
140,"Ceo","Position"
141,"Founder","Position"
142,"Artificial Intelligence","Ability"
143,"Software Engineering","Ability"
144,"Strategic Leadership","Ability"
145,"Product Management","Ability"
146,"Commercial Expansion","Ability"
147,"Proposed Project","Project"
148,"Initial Uber Eats Team In Portugal","Organization"
149,"Startups","Organization"
150,"B2B Sales","Skill"
151,"Team Management","Skill"
152,"Business Creation","Skill"
153,"Scalability","Ability"
154,"International Growth","Ability"
155,"Joel Rodrigues","Person"
156,"Grantrer.Ai","Organization"
157,"Demium","Organization"
158,"Goparity","Organization"
159,"Luis Batista","Person"
160,"Ricardo Moreira","Person"
161,"Rodrigo Mendes","Person"
162,"Otovo","Organization"
163,"Too Good To Go","Organization"
164,"Ai Approaches","Abilitylanguageadaptation"
165,"Gans","Aiability"
166,"Adv-Icl","Aiability"
167,"Market Penetration","Businessgoal"
168,"User Acquisition Strategies","Businessgoal"
169,"Licensing Packages","Businessgoal"
170,"Digital Markets","Market"
171,"Digital Products","Digitalproduct"
172,"System Architecture","Abilitylanguageadaptation"
173,"Digital Product Development","Abilitylanguageadaptation"
