node_id,node_attr
1,"Organisation: Granter.ai"
2,"Criterion: Fundamentação"
3,"Organisation: parcerias"
4,"Criterion: Apoio ao arranque ou ao crescimento"
5,"FundingScheme: financiamento público"
6,"OrganisationRole: equipa de gestão"
7,"Project: project"
8,"Role: CEO"
9,"Person: Francisco Meirelles"
10,"Organisation: GoParity"
11,"Organisation: Siemens"
12,"Organisation: empresa"
13,"Person: Bernardo Seixas"
14,"Role: cofounder"
15,"Organisation: Demium"
16,"Role: Head of Operations"
17,"Organisation: Too Good To Go"
18,"Organisation: Agente de AI"
19,"Person: Francisco Belo"
20,"Role: Tech Lead"
21,"Organisation: Uber Eats"
22,"Person: Bernardo Moutinho"
23,"Role: fundador"
24,"Role: CTO"
25,"Person: Bernardo Tavares"
26,"Role: Head of Sales"
27,"Organisation: Otovo"
28,"Criterion: A sua experiência na comunicação de propostas de valor tecnológicas"
29,"Criterion: licenciamento"
30,"Project: Agente de IA"
31,"GeographicCriterion: Portugal"
32,"GeographicCriterion: Espanha"
33,"InformationBase: metodologias"
34,"InformationBase: algoritmos próprios"
35,"InformationBase: software"
36,"GeographicCriterion: EUA"
37,"GeographicCriterion: Itália"
38,"Criterion: acrescentado com base em IA"
39,"Person: IA"
40,"Person: software developers"
41,"GeographicCriterion: fundos europeus"
42,"ThematicCriterion: Redes Generativas Adversariais (GANs)"
43,"FundingScheme: fundos públicos"
44,"ThematicCriterion: Adversarial In-Context Learning (Adv-ICL)"
