node_id,node_attr
1,"Phase: fase inicial de crescimento acelerado"
2,"Product: Agente de AI"
3,"Technology: Redes Generativas Adversariais (GANs)"
4,"Company: Granter.ai"
5,"Company: Ganter.ai"
6,"Entity: entidade competente"
7,"Sector: setor de candidaturas a fundos públicos"
8,"Concept: tipologia "Apoio ao arranque ou ao crescimento""
9,"Concept: nature, objectives and ambition of the present project"
10,"Product: Agente de IA"
11,"Technology: Adversarial In-Context Learning"
12,"Concept: Mudança de paradigma"
13,"Country: Espanha"
14,"Context: fundos públicos"
15,"Project: desenvolvimento de um Agente de IA"
16,"Person: Bernardo Seixas"
17,"Person: Francisco Meirelles"
18,"Role: CEO e fundador da empresa"
19,"Experience: vendas e marketing estratégico"
20,"Activity: comunicação de propostas de valor tecnológicas"
21,"Concept: licenciamento"
22,"Technology: Adv-ICL"
23,"Product: ferramenta digital inteligente"
24,"Concept: competitividad"
25,"Country: Portugal"
26,"Organization: competitors"
27,"Goal: posicionar-se como uma referência no apoio digital à captação de financiamento"
28,"Business Model: modelo de negócio escalável"
29,"Concept: implementation of the project"
30,"Cost: costs with technological accreditation of human resources"
31,"Concept: revolution in the panorama of the consulting for European funds"
32,"Currency: 5,000€"

src,edge_attr,dst
2,"UTILIZES_TECHNOLOGIES",3
4,"IS_IN_PHASE",1
5,"WANTS_TO_BE_RECOGNIZED_AS",6
5,"CONSOLIDATING_POSITION_IN",7
8,"REFLECTS",9
10,"DEVELOPED_BY",4
10,"USES_TECHNOLOGY",11
4,"TARGETED_MARKET",13
4,"LIDERANÇA_EM",12
15,"CONTEXT",14
16,"HAS_ROLE",18
17,"HAS_EXPERIENCE",19
21,"INVOLVES",20
4,"CONTRIBUTS_TO",24
23,"UTILIZES",22
4,"OPERATES_IN",25
4,"COMPETES_WITH",26
28,"ENABLED",27
29,"WILL_TRANSLATE_INTO",31
30,"AMOUNT",32
