node_id,node_attr
1,"Organization: Granter.Ai"
2,"Concept: Artificial Intelligence"
3,"Concept: Funding Programs"
4,"Concept: Generative Adversarial Networks"
5,"Concept: Adversarial In-Context Learning"
6,"Concept: Software"
7,"Concept: Research And Development"
8,"Sector: Technology Sector"
9,"Organization: Startup"
10,"Product: Agente De Ia"
11,"Organization: Companies"
12,"Concept: Funding Applications"
13,"Concept: Automation Processes"
14,"Concept: Content Generation"
15,"Concept: Innovation"
16,"Concept: Growth Potential"
17,"Organization: Ganter.Ai"
18,"Concept: Agente De Ai"
19,"Person: Specialists"
20,"Concept: Funding Opportunities"
21,"Concept: Adv-Icl"
22,"Concept: Public Policies"
23,"Concept: Public Funds"
24,"Concept: Model Validation"
25,"Concept: Market Impact"
26,"Concept: Scalability"
27,"Concept: Modular Structure"
28,"Concept: Markets (Spain, Italy, Usa)"
29,"Concept: Digital Infrastructure"
30,"Concept: Database"
31,"Concept: Sustainability Programs"
32,"Concept: Green Economy"
33,"Concept: Business Initiatives"
34,"Concept: Environmental Impact"
35,"Concept: Economic Ecosystem"
36,"Concept: Support For Startups Or Growth"
37,"Date: December 2024"
38,"Quantity: 2,500 Companies"
39,"Quantity: 150 Applications"
40,"Currency: €20 Million"
41,"Currency: €400,000"
42,"Percentage: Quarterly Growth 45%"
43,"Organization: Ani"
44,"Concept: Digital Product"
45,"Concept: Ai Agent"
46,"Concept: Market"
47,"Location: Spain"
48,"Location: Italy"
49,"Location: Usa"
50,"Concept: Software Development"
51,"Concept: Internal Resources"
52,"Person: Highly Qualified Team Member"
53,"Concept: Technologies"
54,"Technology: Generative Adversarial Networks (Gans)"
55,"Technology: Adversarial In-Context Learning (Adv-Icl)"
56,"Concept: Robust Solution"
57,"Concept: Sector"
58,"Concept: Growth Strategy"
59,"Concept: Licensing Model"
60,"Concept: Multilingual Version"
61,"Concept: Legal And Operational Frameworks"
62,"Concept: Internationalization"
63,"Concept: Support For Startup Or Growth"
64,"Concept: Medium And Long-Term Vision"
65,"Concept: Mission Of Democratization And Facilitation Of Public Funding Access"
66,"Concept: Expansion Phase"
67,"Concept: Competencies"
68,"Concept: Partnerships"
69,"Concept: Project"
70,"Concept: Typology"
71,"Concept: Nature"
72,"Concept: Objectives"
73,"Concept: Ambition"
74,"Concept: Public Funding"
75,"Concept: Technology Component"
76,"Concept: Scalability Potential"
77,"Concept: Digital Transformation"
78,"Concept: Ai Functionalities"
79,"Concept: Automatic And Personalized Application Generation"
80,"Concept: Ai Methodologies"
81,"Concept: Content Optimization"
82,"Concept: Eligibility Analysis"
83,"Concept: Application Writing"
84,"Concept: Application Evaluation"
85,"Concept: Automatic Submission"
86,"Concept: Project Management"
87,"Concept: Business Ecosystem"
88,"Concept: European Union Objectives"
89,"Concept: Project Relevance"
90,"Concept: Market Transfer Of Knowledge"
91,"Concept: Product Development Methodology"
92,"Concept: Research & Development (R&D)"
93,"Concept: Efficiency And Effectiveness"
94,"Concept: Error Reduction"
95,"Concept: Success Rate"
96,"Concept: Strategic Support"
97,"Concept: Project Objectives And Priorities"
98,"Concept: Saas"
99,"Concept: Digital Transition"
100,"Organization: Prr"
101,"Concept: Companies 4.0"
102,"Concept: Digital Solutions"
103,"Concept: Eco-Innovation"
104,"Concept: Sustainability Funding Programs"
105,"Concept: Business Models"
106,"Organization: Technology-Based Company"
107,"Organization: Public Funding Consultancy"
108,"Country: Portugal"
109,"Organization: European Union"
110,"Organization: Startups"
111,"Organization: Management Team"
112,"Project: Ai Agent Project"
113,"Concept: Software Engineering"
114,"Concept: Strategic Leadership"
115,"Concept: Product Management"
116,"Concept: Commercial Expansion"
117,"Group: Founding Team"
118,"Person: Bernardo Seixas"
119,"Person: Bernardo Tavares"
120,"Person: Bernardo Moutinho"
121,"Person: Francisco Belo"
122,"Person: Francisco Meirelles"
123,"Concept: Licenciamento"
124,"Concept: Communication"
125,"Concept: Value Propositions"
126,"Concept: Technology"
127,"Person: Market Segments"
128,"Person: Project Team"
129,"Person: Digital Markets"
130,"Person: Front-End Developer"
131,"Person: Product Creation And Implementation Experience"
132,"Person: Digital Products"
133,"Person: Company Growth"
134,"Person: Beneficiaries"
135,"Person: Market Solutions"
136,"Person: Funding Application Agent"
137,"Person: Technological Solution"
138,"Person: Gans And Adv-Icl Methodologies"
139,"Person: Market Database Solutions"
140,"Person: Interactive Platform"
141,"Person: User Profile And Objectives"
142,"Concept: Adaptability"
143,"Concept: Intuitive_Interface"
144,"Concept: Differentiation_Factor"
145,"Concept: Customer_Retention_Satisfaction"
146,"Concept: User_Experience"
147,"Concept: Complex_Processes"
148,"Concept: Strategic_Quality"
149,"Concept: Proposal_Structure"
150,"Concept: Alignment_With_Eu_Goals"
151,"Concept: Approval_Probabilities"
152,"Concept: Funding"
153,"Concept: Strategic_Support"
154,"Concept: Artificial_Intelligence"
155,"Concept: Business_Model"
156,"Concept: Annual_Subscription_Strategy"
157,"Concept: Access_Levels"
158,"Concept: Market_Sustainability"
159,"Concept: Market_Scalability"
160,"Concept: Market_Needs"
161,"Concept: Regulatory_Contexts"
162,"Concept: Multilingual_Ai_Agent"
163,"Concept: Internationalization_Potential"
164,"Concept: Market_Leadership"
165,"Concept: Client_Profiles"
166,"Concept: Brand_Awareness"
167,"Concept: Strategic_Investment"
168,"Concept: Sustainable_Growth"
169,"Concept: Technological_Differentiation"
170,"Concept: User-Centered_Approach"
171,"Concept: International_Market_Strategy"
172,"Concept: Intellectual_Property"
173,"Concept: Software_Development"
174,"Concept: Proprietary_Methodologies"
175,"Concept: Algorithms"
176,"Concept: Innovation_Ecosystem"
177,"Concept: Asset_Valuation"
178,"Concept: Competition_Protection"
179,"Concept: Medium_Long_Term_Advantage"
180,"Concept: Technological_Advancement"
181,"Concept: Sector_Leadership"
182,"Concept: High_Value_Product"
183,"Person: Ia"
184,"Person: New_Markets"
185,"Person: Scalable_Business_Model"
186,"Person: Digital_Support_For_Funding"
187,"Product: Artificial Intelligence Agent"
188,"Concept: Funds"
189,"Market: European Market"
190,"Concept: Digital Economy"
191,"Process: Product Development"
192,"Technology: Gans"
193,"Capability: Multilingual Operation"
194,"Concept: Regulatory Frameworks"
195,"Technology: Database Integration"
196,"Business model: Subscription Model"
197,"Concept: Customer Segments"
198,"Strategy: Market Expansion"
199,"Concept: Growth"
200,"Concept: Client Base"
201,"Document: Investment Table"
202,"Cost: Human Resources Costs"
203,"Person: Software Developers"
204,"Certification: Certifications"
205,"Concept: Ai_Certification"
206,"Person: Team"
207,"Concept: Advanced_Ai_Courses"
208,"Concept: Grant_Application_Courses"
209,"Concept: External_Services"
210,"Service: Legal_Advice"
211,"Service: Patent_Application"
212,"Service: Security_Audits"
213,"Concept: Equipment"
214,"Device: Personal_Computers"
215,"Service: Software_Subscriptions"
216,"Concept: Intellectual_Property_Protection"
217,"Expense: Patent_Expenses"
218,"Expense: Legal_Fees"
219,"Service: Software_Development_Tools"

src,edge_attr,dst
1,"USES",2
1,"TARGETS",3
2,"INCLUDES",4
2,"INCLUDES",5
6,"DEVELOPS",2
7,"INVOLVES",2
1,"IS_A",9
10,"USED_BY",11
10,"AID_IN",12
10,"ENHANCES",13
10,"IMPROVES",14
10,"DRIVES",15
10,"CONTRIBUTES_TO",16
17,"PROVIDES",20
18,"USES",14
18,"APPLIED_IN",22
18,"TARGETS",23
18,"INVOLVES",7
7,"INCLUDES",24
17,"PLANS_EXPAND_TO",28
17,"UTILIZES",29
29,"CONNECTS_TO",30
17,"FOCUSES_ON",36
36,"STARTS_ON",37
17,"HAS_RELATED_ENTITIES",38
17,"HAS_RELATED_ENTITIES",39
17,"HAS_RELATED_ENTITIES",40
17,"HAS_RELATED_ENTITIES",41
17,"EXPERIENCES",42
1,"PROFESSOR",43
1,"DEVELOPING",44
44,"INCLUDES",45
45,"USES",12
45,"TARGETS",46
46,"EXPANDS_TO",47
46,"EXPANDS_TO",48
46,"EXPANDS_TO",49
50,"REQUIRES",51
50,"REQUIRES",52
126,"UTILIZES",54
126,"UTILIZES",55
56,"INCLUDES_TECHNOLOGY",126
57,"TRANSFORMS",44
58,"ENHANCES",44
59,"ENABLED_BY",44
60,"ENABLED_BY",44
61,"ADAPTS_TO",44
62,"FACILITATES",44
63,"DRIVES",44
64,"GUIDES",44
65,"DRIVES",44
66,"ENACTS",44
67,"UTILIZES",44
68,"FOSTERS",44
70,"IS_REFLECTED_BY",63
69,"HAS_TYPLOGY",70
69,"REFLECTS",71
69,"HAS_OBJECTIVE",72
69,"HAS_AMBITION",73
1,"PRODUCES",45
45,"SUPPORTS",74
